"State","Number of CoCs","Total Homeless, 2009","Sheltered Homeless, 2009","Unsheltered Homeless, 2009","Homeless Individuals, 2009","Sheltered Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Homeless People in Families, 2009","Sheltered Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Chronically Homeless Individuals, 2009","Sheltered Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009","Homeless Veterans, 2009","Sheltered Homeless Veterans, 2009","Unsheltered Homeless Veterans, 2009"
"ND","1.0","773.0","765.0","8.0","548.0","540.0","8.0","225.0","225.0","0.0","70.0","66.0","4.0","168.0","166.0","2.0"
"NE","7.0","3718.0","3079.0","639.0","2072.0","1747.0","325.0","1646.0","1332.0","314.0","495.0","413.0","82.0","298.0","263.0","35.0"
"NH","3.0","1645.0","1406.0","239.0","891.0","670.0","221.0","754.0","736.0","18.0","330.0","285.0","45.0","167.0","150.0","17.0"
"NJ","20.0","13169.0","11871.0","1298.0","5962.0","5005.0","957.0","7207.0","6866.0","341.0","934.0","704.0","230.0","618.0","542.0","76.0"
"NM","2.0","3475.0","2108.0","1367.0","2343.0","1102.0","1241.0","1132.0","1006.0","126.0","779.0","341.0","438.0","408.0","226.0","182.0"
"NV","3.0","11089.0","7792.0","3297.0","9394.0","6143.0","3251.0","1695.0","1649.0","46.0","1297.0","196.0","1101.0","1936.0","1329.0","607.0"
"NY","32.0","61067.0","57454.0","3613.0","24557.0","21005.0","3552.0","36510.0","36449.0","61.0","4280.0","2272.0","2008.0","5879.0","5047.0","832.0"
"OH","9.0","12700.0","10929.0","1771.0","7774.0","6430.0","1344.0","4926.0","4499.0","427.0","2303.0","1838.0","465.0","1390.0","1185.0","205.0"
"OK","8.0","4838.0","3307.0","1531.0","3227.0","2185.0","1042.0","1611.0","1122.0","489.0","654.0","538.0","116.0","475.0","416.0","59.0"
"OR","8.0","17309.0","7442.0","9867.0","10443.0","3992.0","6451.0","6866.0","3450.0","3416.0","2842.0","919.0","1923.0","1277.0","672.0","605.0"
"PA","17.0","15096.0","13819.0","1277.0","7384.0","6191.0","1193.0","7712.0","7628.0","84.0","1798.0","1027.0","771.0","1440.0","1282.0","158.0"
"PR","2.0","4070.0","1325.0","2745.0","3730.0","1133.0","2597.0","340.0","192.0","148.0","2195.0","661.0","1534.0","97.0","24.0","73.0"
"RI","1.0","1607.0","1556.0","51.0","1139.0","1088.0","51.0","468.0","468.0","0.0","220.0","190.0","30.0","120.0","113.0","7.0"
"SC","5.0","4473.0","3036.0","1437.0","3194.0","1945.0","1249.0","1279.0","1091.0","188.0","674.0","392.0","282.0","629.0","439.0","190.0"
"SD","1.0","731.0","667.0","64.0","445.0","381.0","64.0","286.0","286.0","0.0","109.0","45.0","64.0","160.0","138.0","22.0"
"TN","10.0","10532.0","7133.0","3399.0","8048.0","5520.0","2528.0","2484.0","1613.0","871.0","2632.0","1498.0","1134.0","1142.0","839.0","303.0"
"TX","18.0","36761.0","21658.0","15103.0","22564.0","12943.0","9621.0","14197.0","8715.0","5482.0","6020.0","2741.0","3279.0","5491.0","2735.0","2756.0"
"UT","3.0","3795.0","3540.0","255.0","2242.0","1987.0","255.0","1553.0","1553.0","0.0","700.0","445.0","255.0","166.0","110.0","56.0"
"VA","22.0","8852.0","7284.0","1568.0","5066.0","3863.0","1203.0","3786.0","3421.0","365.0","1621.0","1034.0","587.0","960.0","782.0","178.0"
"VI","1.0","471.0","76.0","395.0","430.0","35.0","395.0","41.0","41.0","0.0","369.0","4.0","365.0","32.0","0.0","32.0"
"VT","2.0","1214.0","1057.0","157.0","693.0","571.0","122.0","521.0","486.0","35.0","134.0","79.0","55.0","61.0","52.0","9.0"
"WA","7.0","22782.0","16237.0","6545.0","12086.0","6639.0","5447.0","10696.0","9598.0","1098.0","2609.0","1608.0","1001.0","1963.0","1168.0","795.0"
"WI","4.0","6525.0","5465.0","1060.0","3161.0","2733.0","428.0","3364.0","2732.0","632.0","716.0","612.0","104.0","608.0","575.0","33.0"
"WV","4.0","1667.0","1278.0","389.0","1101.0","848.0","253.0","566.0","430.0","136.0","337.0","239.0","98.0","271.0","177.0","94.0"
"WY","1.0","515.0","451.0","64.0","340.0","282.0","58.0","175.0","169.0","6.0","79.0","30.0","49.0","117.0","95.0","22.0"
"Total","450.0","630227.0","403308.0","226919.0","392131.0","215995.0","176136.0","238096.0","187313.0","50783.0","107212.0","45592.0","61620.0","73367.0","43409.0","29958.0"
