"CoC Number","CoC Name","Total Homeless, 2008","Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008"
"IL-502","Waukegan/North Chicago/Lake County CoC","439.0","430.0","9.0","221.0","212.0","9.0","218.0","218.0","0.0","48.0","45.0","3.0"
"IL-503","Champaign/Urbana/Rantoul/Champaign County CoC","429.0","416.0","13.0","158.0","156.0","2.0","271.0","260.0","11.0","59.0","57.0","2.0"
"IL-504","Madison County CoC","214.0","189.0","25.0","69.0","48.0","21.0","145.0","141.0","4.0","3.0","0.0","3.0"
"IL-506","Joliet/Bolingbrook/Will County CoC","309.0","299.0","10.0","158.0","148.0","10.0","151.0","151.0","0.0","50.0","50.0","0.0"
"IL-507","Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC","350.0","342.0","8.0","202.0","194.0","8.0","148.0","148.0","0.0","65.0","65.0","0.0"
"IL-508","East Saint Louis/Belleville/Saint Clair County CoC","670.0","218.0","452.0","306.0","86.0","220.0","364.0","132.0","232.0","59.0","12.0","47.0"
"IL-509","Dekalb City & County CoC","130.0","106.0","24.0","60.0","48.0","12.0","70.0","58.0","12.0","39.0","29.0","10.0"
"IL-510","Chicago CoC","5979.0","4346.0","1633.0","3927.0","2359.0","1568.0","2052.0","1987.0","65.0","1018.0","334.0","684.0"
"IL-511","Cook County CoC","1420.0","1162.0","258.0","721.0","472.0","249.0","699.0","690.0","9.0","256.0","160.0","96.0"
"IL-512","Bloomington/Central Illinois CoC","467.0","399.0","68.0","228.0","185.0","43.0","239.0","214.0","25.0","57.0","44.0","13.0"
"IL-513","Springfield/Sangamon County CoC","235.0","228.0","7.0","216.0","209.0","7.0","19.0","19.0","0.0","101.0","95.0","6.0"
"IL-514","DuPage County CoC","766.0","642.0","124.0","380.0","278.0","102.0","386.0","364.0","22.0","173.0","71.0","102.0"
"IL-515","South Central Illinois CoC","270.0","235.0","35.0","45.0","34.0","11.0","225.0","201.0","24.0","5.0","4.0","1.0"
"IL-516","Decatur/Macon County CoC","347.0","167.0","180.0","124.0","65.0","59.0","223.0","102.0","121.0","34.0","21.0","13.0"
"IL-517","Aurora/Elgin/Kane County CoC","474.0","418.0","56.0","356.0","300.0","56.0","118.0","118.0","0.0","245.0","212.0","33.0"
"IL-518","Rock Island/Moline/Northwestern Illinois CoC","352.0","268.0","84.0","158.0","104.0","54.0","194.0","164.0","30.0","18.0","11.0","7.0"
"IL-519","West Central Illinois CoC","229.0","99.0","130.0","168.0","47.0","121.0","61.0","52.0","9.0","17.0","6.0","11.0"
"IL-520","Southern Illinois CoC","870.0","796.0","74.0","416.0","358.0","58.0","454.0","438.0","16.0","159.0","113.0","46.0"
"IN-502","Indiana Balance of State CoC","5904.0","4559.0","1345.0","3812.0","2619.0","1193.0","2092.0","1940.0","152.0","575.0","162.0","413.0"
"IN-503","Indianapolis CoC","1491.0","1364.0","127.0","1125.0","998.0","127.0","366.0","366.0","0.0","121.0","87.0","34.0"
"KS-502","Wichita/Sedgwick County CoC","473.0","445.0","28.0","342.0","317.0","25.0","131.0","128.0","3.0","93.0","85.0","8.0"
"KS-503","Topeka/Shawnee County CoC","341.0","316.0","25.0","199.0","174.0","25.0","142.0","142.0","0.0","31.0","22.0","9.0"
"KS-505","Overland Park/Shawnee/Johnson County CoC","234.0","147.0","87.0","60.0","17.0","43.0","174.0","130.0","44.0","12.0","3.0","9.0"
"KS-507","Kansas Balance of State CoC","524.0","483.0","41.0","373.0","335.0","38.0","151.0","148.0","3.0","18.0","12.0","6.0"
"KY-500","Kentucky Balance of State CoC","4027.0","2416.0","1611.0","1713.0","911.0","802.0","2314.0","1505.0","809.0","259.0","117.0","142.0"
"KY-501","Louisville/Jefferson County CoC","2682.0","2537.0","145.0","1721.0","1576.0","145.0","961.0","961.0","0.0","256.0","176.0","80.0"
"KY-502","Lexington/Fayette County CoC","1428.0","1242.0","186.0","910.0","760.0","150.0","518.0","482.0","36.0","127.0","87.0","40.0"
"LA-500","Lafayette/Acadiana CoC","631.0","457.0","174.0","305.0","214.0","91.0","326.0","243.0","83.0","47.0","16.0","31.0"
"LA-502","Shreveport/Bossier/Northwest CoC","1042.0","898.0","144.0","489.0","389.0","100.0","553.0","509.0","44.0","52.0","17.0","35.0"
"LA-503","New Orleans/Jefferson Parish CoC","1619.0","990.0","629.0","801.0","504.0","297.0","818.0","486.0","332.0","220.0","60.0","160.0"
"LA-505","Monroe/Northeast Louisiana CoC","276.0","201.0","75.0","109.0","87.0","22.0","167.0","114.0","53.0","8.0","3.0","5.0"
"LA-506","Slidell/Southeast Louisiana CoC","522.0","210.0","312.0","241.0","74.0","167.0","281.0","136.0","145.0","44.0","10.0","34.0"
"LA-507","Alexandria/Central Louisiana CoC","128.0","93.0","35.0","92.0","62.0","30.0","36.0","31.0","5.0","25.0","7.0","18.0"
"LA-508","Houma-Terrebonne/Thibodaux CoC","163.0","122.0","41.0","62.0","40.0","22.0","101.0","82.0","19.0","14.0","3.0","11.0"
"LA-509","Louisiana Balance of State (BoS)","1100.0","729.0","371.0","795.0","535.0","260.0","305.0","194.0","111.0","203.0","61.0","142.0"
"MA-500","Boston CoC","5198.0","5014.0","184.0","2683.0","2499.0","184.0","2515.0","2515.0","0.0","915.0","834.0","81.0"
"MA-501","Holyoke/Franklin, Hampden, Hampshire Counties CoC","1090.0","1013.0","77.0","443.0","383.0","60.0","647.0","630.0","17.0","85.0","42.0","43.0"
"MA-502","Lynn CoC","389.0","350.0","39.0","252.0","213.0","39.0","137.0","137.0","0.0","105.0","66.0","39.0"
"MA-503","Cape Cod/Islands CoC","741.0","424.0","317.0","353.0","179.0","174.0","388.0","245.0","143.0","201.0","77.0","124.0"
"MA-504","Springfield CoC","696.0","676.0","20.0","329.0","309.0","20.0","367.0","367.0","0.0","107.0","89.0","18.0"
"MA-505","New Bedford CoC","380.0","299.0","81.0","279.0","198.0","81.0","101.0","101.0","0.0","27.0","27.0","0.0"
"MA-506","Worcester City & County CoC","1291.0","1257.0","34.0","586.0","552.0","34.0","705.0","705.0","0.0","129.0","112.0","17.0"
"MA-507","Pittsfield/Berkshire County CoC","237.0","210.0","27.0","181.0","159.0","22.0","56.0","51.0","5.0","31.0","18.0","13.0"
"MA-508","Lowell CoC","398.0","390.0","8.0","208.0","200.0","8.0","190.0","190.0","0.0","84.0","76.0","8.0"
"MA-509","Cambridge CoC","486.0","424.0","62.0","359.0","297.0","62.0","127.0","127.0","0.0","182.0","120.0","62.0"
"MA-510","Gloucester/Haverhill/Salem/Essex County CoC","656.0","625.0","31.0","367.0","336.0","31.0","289.0","289.0","0.0","88.0","78.0","10.0"
"MA-511","Quincy/Brockton/Weymouth/Plymouth City and County CoC","901.0","824.0","77.0","384.0","307.0","77.0","517.0","517.0","0.0","163.0","111.0","52.0"
"MA-514","Framingham/Waltham CoC","636.0","629.0","7.0","173.0","166.0","7.0","463.0","463.0","0.0","90.0","83.0","7.0"
"MA-515","Fall River CoC","143.0","138.0","5.0","87.0","82.0","5.0","56.0","56.0","0.0","15.0","14.0","1.0"
"MA-516","Massachusetts Balance of State","952.0","884.0","68.0","269.0","201.0","68.0","683.0","683.0","0.0","80.0","45.0","35.0"
"MA-517","Somerville CoC","179.0","177.0","2.0","107.0","105.0","2.0","72.0","72.0","0.0","10.0","10.0","0.0"
"MA-519","Attleboro/Taunton/Bristol County CoC","133.0","103.0","30.0","67.0","37.0","30.0","66.0","66.0","0.0","40.0","28.0","12.0"
"MD-500","Cumberland/Allegany County CoC","132.0","83.0","49.0","36.0","22.0","14.0","96.0","61.0","35.0","17.0","8.0","9.0"
"MD-501","Baltimore City CoC","2607.0","1978.0","629.0","1653.0","1370.0","283.0","954.0","608.0","346.0","410.0","218.0","192.0"
"MD-502","Harford County CoC","145.0","132.0","13.0","94.0","81.0","13.0","51.0","51.0","0.0","31.0","23.0","8.0"
"MD-503","Annapolis/Anne Arundel County CoC","290.0","240.0","50.0","132.0","82.0","50.0","158.0","158.0","0.0","46.0","38.0","8.0"
"MD-504","Howard County CoC","159.0","135.0","24.0","35.0","20.0","15.0","124.0","115.0","9.0","5.0","0.0","5.0"
"MD-505","Baltimore County CoC","426.0","393.0","33.0","133.0","119.0","14.0","293.0","274.0","19.0","72.0","65.0","7.0"
"MD-506","Carroll County CoC","174.0","161.0","13.0","124.0","113.0","11.0","50.0","48.0","2.0","31.0","28.0","3.0"
"MD-507","Cecil County CoC","152.0","139.0","13.0","68.0","55.0","13.0","84.0","84.0","0.0","35.0","22.0","13.0"
"MD-508","Charles, Calvert, St.Mary's Counties CoC","1938.0","253.0","1685.0","591.0","103.0","488.0","1347.0","150.0","1197.0","218.0","28.0","190.0"
"MD-509","Frederick City & County CoC","246.0","224.0","22.0","126.0","108.0","18.0","120.0","116.0","4.0","55.0","42.0","13.0"
"MD-510","Garrett County CoC","82.0","63.0","19.0","33.0","24.0","9.0","49.0","39.0","10.0","0.0","0.0","0.0"
"MD-511","Mid-Shore Regional CoC","310.0","139.0","171.0","199.0","75.0","124.0","111.0","64.0","47.0","63.0","0.0","63.0"
"MD-512","Hagerstown/Washington County CoC","214.0","192.0","22.0","109.0","105.0","4.0","105.0","87.0","18.0","39.0","35.0","4.0"
"MD-513","Wicomico/Somerset/Worcester County CoC","251.0","214.0","37.0","160.0","130.0","30.0","91.0","84.0","7.0","43.0","32.0","11.0"
"MD-600","Prince George`s County/Maryland CoC","943.0","798.0","145.0","573.0","428.0","145.0","370.0","370.0","0.0","216.0","71.0","145.0"
"MD-601","Montgomery County CoC","1150.0","910.0","240.0","740.0","500.0","240.0","410.0","410.0","0.0","208.0","119.0","89.0"
"ME-500","Maine Balance of State CoC","2632.0","2588.0","44.0","1241.0","1201.0","40.0","1391.0","1387.0","4.0","132.0","123.0","9.0"
"MI-500","Michigan Balance of State CoC","2355.0","1386.0","969.0","1014.0","496.0","518.0","1341.0","890.0","451.0","156.0","79.0","77.0"
"MI-501","Detroit CoC","18062.0","4738.0","13324.0","11913.0","3635.0","8278.0","6149.0","1103.0","5046.0","1503.0","261.0","1242.0"
"MI-502","Dearborn/Dearborn Heights/Westland/Wayne County CoC","865.0","618.0","247.0","513.0","416.0","97.0","352.0","202.0","150.0","122.0","42.0","80.0"
"MI-503","St. Clair Shores/Warren/Macomb County CoC","769.0","251.0","518.0","541.0","168.0","373.0","228.0","83.0","145.0","163.0","32.0","131.0"
"MI-504","Pontiac/Royal Oak/Oakland County CoC","1011.0","402.0","609.0","804.0","202.0","602.0","207.0","200.0","7.0","190.0","167.0","23.0"
"MI-505","Flint/Genesee County CoC","245.0","227.0","18.0","129.0","119.0","10.0","116.0","108.0","8.0","26.0","23.0","3.0"
"MI-506","Grand Rapids/Wyoming/Kent County CoC","794.0","752.0","42.0","407.0","371.0","36.0","387.0","381.0","6.0","109.0","73.0","36.0"
