"State","Number of CoCs","Total Homeless, 2007","Sheltered Homeless, 2007","Unsheltered Homeless, 2007","Homeless Individuals, 2007","Sheltered Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Homeless People in Families, 2007","Sheltered Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Chronically Homeless Individuals, 2007","Sheltered Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007","Homeless Veterans, 2007","Sheltered Homeless Veterans, 2007","Unsheltered Homeless Veterans, 2007"
"ID","2.0","1749.0","1125.0","624.0","1102.0","613.0","489.0","647.0","512.0","135.0","95.0","37.0","58.0","102.0","34.0","68.0"
"IL","21.0","15487.0","12171.0","3316.0","8653.0","5982.0","2671.0","6834.0","6189.0","645.0","2681.0","1434.0","1247.0","1330.0","945.0","385.0"
"IN","3.0","7358.0","6096.0","1262.0","4734.0","3624.0","1110.0","2624.0","2472.0","152.0","694.0","450.0","244.0","516.0","502.0","14.0"
"KS","6.0","2111.0","1829.0","282.0","1208.0","1003.0","205.0","903.0","826.0","77.0","159.0","117.0","42.0","296.0","285.0","11.0"
"KY","3.0","8061.0","5940.0","2121.0","3890.0","2934.0","956.0","4171.0","3006.0","1165.0","574.0","351.0","223.0","482.0","407.0","75.0"
"LA","9.0","5494.0","3917.0","1577.0","2973.0","2155.0","818.0","2521.0","1762.0","759.0","562.0","226.0","336.0","408.0","315.0","93.0"
"MA","21.0","15127.0","13713.0","1414.0","8292.0","7179.0","1113.0","6835.0","6534.0","301.0","2790.0","2056.0","734.0","1252.0","1217.0","35.0"
"MD","16.0","9628.0","6418.0","3210.0","5052.0","3533.0","1519.0","4576.0","2885.0","1691.0","1550.0","749.0","801.0","572.0","541.0","31.0"
"ME","3.0","2638.0","2576.0","62.0","1136.0","1088.0","48.0","1502.0","1488.0","14.0","97.0","67.0","30.0","119.0","117.0","2.0"
"MI","24.0","28295.0","11552.0","16743.0","17553.0","6967.0","10586.0","10742.0","4585.0","6157.0","2716.0","927.0","1789.0","876.0","749.0","127.0"
"MN","13.0","7323.0","5878.0","1445.0","3269.0","2181.0","1088.0","4054.0","3697.0","357.0","1414.0","967.0","447.0","551.0","443.0","108.0"
"MO","9.0","6247.0","5137.0","1110.0","3336.0","2561.0","775.0","2911.0","2576.0","335.0","1221.0","917.0","304.0","416.0","394.0","22.0"
"MP","0.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MS","3.0","1377.0","851.0","526.0","1115.0","593.0","522.0","262.0","258.0","4.0","593.0","169.0","424.0","161.0","158.0","3.0"
"MT","1.0","1150.0","855.0","295.0","633.0","398.0","235.0","517.0","457.0","60.0","83.0","35.0","48.0","143.0","83.0","60.0"
"NC","13.0","11802.0","7879.0","3923.0","8391.0","5393.0","2998.0","3411.0","2486.0","925.0","1645.0","846.0","799.0","992.0","827.0","165.0"
"ND","1.0","636.0","577.0","59.0","403.0","379.0","24.0","233.0","198.0","35.0","80.0","71.0","9.0","67.0","62.0","5.0"
"NE","7.0","3531.0","3007.0","524.0","2172.0","1737.0","435.0","1359.0","1270.0","89.0","785.0","486.0","299.0","165.0","151.0","14.0"
"NH","3.0","2248.0","1273.0","975.0","1255.0","651.0","604.0","993.0","622.0","371.0","367.0","263.0","104.0","111.0","60.0","51.0"
"NJ","21.0","17314.0","14836.0","2478.0","8972.0","7034.0","1938.0","8342.0","7802.0","540.0","2525.0","1582.0","943.0","618.0","499.0","119.0"
"NM","2.0","3015.0","1748.0","1267.0","1861.0","1063.0","798.0","1154.0","685.0","469.0","711.0","245.0","466.0","163.0","163.0","0.0"
"NV","3.0","8642.0","4818.0","3824.0","6477.0","3639.0","2838.0","2165.0","1179.0","986.0","871.0","191.0","680.0","1623.0","903.0","720.0"
"NY","32.0","62601.0","57281.0","5320.0","28056.0","22907.0","5149.0","34545.0","34374.0","171.0","6476.0","2413.0","4063.0","4742.0","4732.0","10.0"
"OH","9.0","11264.0","9380.0","1884.0","6870.0","5592.0","1278.0","4394.0","3788.0","606.0","2308.0","1601.0","707.0","1062.0","981.0","81.0"
"OK","8.0","4221.0","3089.0","1132.0","2982.0","2201.0","781.0","1239.0","888.0","351.0","779.0","395.0","384.0","381.0","304.0","77.0"
"OR","8.0","17590.0","8329.0","9261.0","9871.0","4120.0","5751.0","7719.0","4209.0","3510.0","2829.0","1087.0","1742.0","705.0","571.0","134.0"
"PA","17.0","16220.0","14741.0","1479.0","8229.0","6932.0","1297.0","7991.0","7809.0","182.0","1589.0","914.0","675.0","1805.0","1729.0","76.0"
"PR","2.0","4309.0","1368.0","2941.0","3914.0","1150.0","2764.0","395.0","218.0","177.0","2904.0","585.0","2319.0","104.0","31.0","73.0"
"RI","1.0","1372.0","1323.0","49.0","643.0","599.0","44.0","729.0","724.0","5.0","134.0","90.0","44.0","62.0","59.0","3.0"
"SC","5.0","5660.0","3086.0","2574.0","3771.0","2030.0","1741.0","1889.0","1056.0","833.0","573.0","367.0","206.0","435.0","350.0","85.0"
"SD","1.0","579.0","538.0","41.0","268.0","235.0","33.0","311.0","303.0","8.0","104.0","79.0","25.0","108.0","106.0","2.0"
"TN","10.0","11210.0","6446.0","4764.0","8462.0","4723.0","3739.0","2748.0","1723.0","1025.0","2767.0","896.0","1871.0","1028.0","859.0","169.0"
"TX","18.0","39788.0","22882.0","16906.0","26306.0","13119.0","13187.0","13482.0","9763.0","3719.0","7931.0","3290.0","4641.0","5527.0","3034.0","2493.0"
"UT","3.0","3011.0","2698.0","313.0","1945.0","1632.0","313.0","1066.0","1066.0","0.0","801.0","488.0","313.0","227.0","202.0","25.0"
"VA","22.0","9746.0","7567.0","2179.0","5523.0","3792.0","1731.0","4223.0","3775.0","448.0","1963.0","923.0","1040.0","848.0","657.0","191.0"
"VI","1.0","559.0","72.0","487.0","537.0","50.0","487.0","22.0","22.0","0.0","487.0","0.0","487.0","5.0","5.0","0.0"
"VT","2.0","1035.0","720.0","315.0","599.0","380.0","219.0","436.0","340.0","96.0","191.0","60.0","131.0","64.0","38.0","26.0"
"WA","8.0","23379.0","16857.0","6522.0","13289.0","8113.0","5176.0","10090.0","8744.0","1346.0","2603.0","1333.0","1270.0","1421.0","1199.0","222.0"
"WI","4.0","5648.0","5085.0","563.0","2403.0","2071.0","332.0","3245.0","3014.0","231.0","689.0","468.0","221.0","466.0","449.0","17.0"
"WV","4.0","2409.0","2147.0","262.0","1915.0","1724.0","191.0","494.0","423.0","71.0","1151.0","1058.0","93.0","787.0","760.0","27.0"
"WY","1.0","537.0","397.0","140.0","331.0","257.0","74.0","206.0","140.0","66.0","38.0","0.0","38.0","40.0","40.0","0.0"
"Total","461.0","647258.0","391401.0","255857.0","412700.0","213073.0","199627.0","234558.0","178328.0","56230.0","119813.0","41768.0","78045.0","60988.0","39653.0","21335.0"
